sectie	sch	obj	klasse	rol	rechten
FUNC	public	fn_validate_requirement_instance_binding_sleutel()	function	authenticated	-
FUNC	public	fn_validate_requirement_instance_binding_sleutel()	function	service_role	EXECUTE
FUNC	public	fn_zelfde_fonds(p_gebruiker uuid)	function	anon	-
FUNC	public	fn_zelfde_fonds(p_gebruiker uuid)	function	authenticated	EXECUTE
FUNC	public	fn_zelfde_fonds(p_gebruiker uuid)	function	service_role	EXECUTE
FUNC	public	lees_governance_audit(p_fonds uuid, p_filters jsonb, p_motivering text, p_limiet integer, p_bronniveau boolean)	function	anon	-
FUNC	public	lees_governance_audit(p_fonds uuid, p_filters jsonb, p_motivering text, p_limiet integer, p_bronniveau boolean)	function	authenticated	EXECUTE
FUNC	public	lees_governance_audit(p_fonds uuid, p_filters jsonb, p_motivering text, p_limiet integer, p_bronniveau boolean)	function	service_role	EXECUTE
FUNC	public	log_word_export(p_gesprek_audit_id uuid, p_stuksoort text, p_promptvariant text, p_bronnen jsonb)	function	anon	-
FUNC	public	log_word_export(p_gesprek_audit_id uuid, p_stuksoort text, p_promptvariant text, p_bronnen jsonb)	function	authenticated	EXECUTE
FUNC	public	log_word_export(p_gesprek_audit_id uuid, p_stuksoort text, p_promptvariant text, p_bronnen jsonb)	function	service_role	EXECUTE
FUNC	public	maak_profiel()	function	anon	-
FUNC	public	maak_profiel()	function	authenticated	-
FUNC	public	maak_profiel()	function	service_role	EXECUTE
FUNC	public	mag_audit(p_fonds uuid)	function	anon	-
FUNC	public	mag_audit(p_fonds uuid)	function	authenticated	EXECUTE
FUNC	public	mag_audit(p_fonds uuid)	function	service_role	EXECUTE
FUNC	public	mag_audit_bronnen(p_fonds uuid)	function	anon	-
FUNC	public	mag_audit_bronnen(p_fonds uuid)	function	authenticated	EXECUTE
FUNC	public	mag_audit_bronnen(p_fonds uuid)	function	service_role	EXECUTE
FUNC	public	mag_audit_redacties(p_fonds uuid)	function	anon	-
FUNC	public	mag_audit_redacties(p_fonds uuid)	function	authenticated	EXECUTE
FUNC	public	mag_audit_redacties(p_fonds uuid)	function	service_role	EXECUTE
FUNC	public	meta_basisniveau(p_meta jsonb)	function	anon	-
FUNC	public	meta_basisniveau(p_meta jsonb)	function	authenticated	EXECUTE
FUNC	public	meta_basisniveau(p_meta jsonb)	function	service_role	EXECUTE
FUNC	public	meta_bronniveau(p_meta jsonb)	function	anon	-
FUNC	public	meta_bronniveau(p_meta jsonb)	function	authenticated	EXECUTE
FUNC	public	meta_bronniveau(p_meta jsonb)	function	service_role	EXECUTE
FUNC	public	meta_projectie(p_meta jsonb, p_bron boolean)	function	anon	-
FUNC	public	meta_projectie(p_meta jsonb, p_bron boolean)	function	authenticated	EXECUTE
FUNC	public	meta_projectie(p_meta jsonb, p_bron boolean)	function	service_role	EXECUTE
FUNC	public	profiel_opslaan(p_naam text, p_bestuurlijke_rol text, p_primaire_expertise_id uuid, p_antwoordvoorkeur text, p_standaard_ai_modus text, p_detailniveau text, p_secundaire_expertise_ids uuid[], p_gremium_ids uuid[], p_focusgebied_ids uuid[], p_reflectie_uitnodiging boolean)	function	anon	-
FUNC	public	profiel_opslaan(p_naam text, p_bestuurlijke_rol text, p_primaire_expertise_id uuid, p_antwoordvoorkeur text, p_standaard_ai_modus text, p_detailniveau text, p_secundaire_expertise_ids uuid[], p_gremium_ids uuid[], p_focusgebied_ids uuid[], p_reflectie_uitnodiging boolean)	function	authenticated	EXECUTE
FUNC	public	profiel_opslaan(p_naam text, p_bestuurlijke_rol text, p_primaire_expertise_id uuid, p_antwoordvoorkeur text, p_standaard_ai_modus text, p_detailniveau text, p_secundaire_expertise_ids uuid[], p_gremium_ids uuid[], p_focusgebied_ids uuid[], p_reflectie_uitnodiging boolean)	function	service_role	EXECUTE
FUNC	public	reflectie_bronset_hash(p_retrieval_meta jsonb)	function	anon	-
FUNC	public	reflectie_bronset_hash(p_retrieval_meta jsonb)	function	authenticated	EXECUTE
FUNC	public	reflectie_bronset_hash(p_retrieval_meta jsonb)	function	service_role	EXECUTE
FUNC	public	reflectie_transitie(p_gesprek_id uuid, p_actie text, p_ingang text, p_bronset_log_id uuid)	function	anon	-
FUNC	public	reflectie_transitie(p_gesprek_id uuid, p_actie text, p_ingang text, p_bronset_log_id uuid)	function	authenticated	EXECUTE
FUNC	public	reflectie_transitie(p_gesprek_id uuid, p_actie text, p_ingang text, p_bronset_log_id uuid)	function	service_role	EXECUTE
FUNC	public	resolve_tenant_host(p_host text)	function	anon	EXECUTE
FUNC	public	resolve_tenant_host(p_host text)	function	authenticated	EXECUTE
FUNC	public	resolve_tenant_host(p_host text)	function	service_role	EXECUTE
FUNC	public	schrijf_ai_interactie(p_vraag text, p_antwoord text, p_bronnen jsonb, p_modus text, p_model text, p_retrieval_meta jsonb, p_retrieval_meta_inhoud jsonb, p_gesprek_audit_id uuid, p_inhoud_hmac text, p_hmac_schema_versie smallint, p_hmac_sleutel_versie smallint)	function	anon	-
FUNC	public	schrijf_ai_interactie(p_vraag text, p_antwoord text, p_bronnen jsonb, p_modus text, p_model text, p_retrieval_meta jsonb, p_retrieval_meta_inhoud jsonb, p_gesprek_audit_id uuid, p_inhoud_hmac text, p_hmac_schema_versie smallint, p_hmac_sleutel_versie smallint)	function	authenticated	EXECUTE
